SiteCode,RefCode,Locality,State,Country,Latitude,Longitude,Precision,YearStart,YearEnd,Duration,SamplingEffort,StudyType,EcologicalScale,SamplingMethod,SamplingSeason,Vegetation,VegType,Ecoregion,Domain,Altitude,1kmAlt,AnnRain,MeaAnnTemp,PET,GAI
BPA125,BPR108,Yanayacu Biological Station,Napo,Ecuador,-0.599599,-77.883356,Precise,2003,2003,6,,Plant visitation,Assemblage,Direct observation,Dry and Wet,NA,Rainforest,Eastern Cordillera real montane forests,Northern Andes,NA,2119,2337,16.1,1076,2.1718
BPA126,BPR108,El Pahuma Rreserve,Pichincha,Ecuador,0.025871,-78.632174,Precise,2003,2003,5,,Plant visitation,Assemblage,Direct observation,Dry and Wet,NA,Cloud forest,Northwestern Andean montane forests,Northern Andes,NA,1954,1457,16.6,1206,1.2076
BPA127,BPR108,Otonga Natural Reserve,Cotopaxi,Ecuador,-0.416699,-79.002553,Precise,2003,2003,1,,Plant visitation,Assemblage,Direct observation,Wet,NA,Cloud forest,Northwestern Andean montane forests,Northern Andes,NA,1940,2209,16.3,1159,1.9058
BPA128,BPR108,Golondrinas Reserve,Carchi,Ecuador,0.833333,-78.116667,Precise,2003,2003,1,,Plant visitation,Assemblage,Direct observation,Dry,NA,Cloud forest,Northwestern Andean montane forests,Northern Andes,NA,2239,974,15.4,1179,0.8258
BPA129,BPR108,Bilsa Biological Station,Manabi,Ecuador,0.346933,-79.710983,Precise,2003,2003,1,,Plant visitation,Assemblage,Direct observation,Dry,NA,Rainforest,Western Ecuador moist forests,Northern Andes,NA,527,1802,22.9,1075,1.6757
BPA130,BPR108,Bellavista Reserve,Pichincha,Ecuador,-0.016626,-78.680865,Precise,2003,2003,7,,Plant visitation,Assemblage,Direct observation,Dry and Wet,NA,Cloud forest,Northwestern Andean montane forests,Northern Andes,NA,2055,1492,16,1222,1.22
BPA131,BPR109,Río Guajalito Reserve,Pichincha,Ecuador,-0.204462,-78.797328,Precise,1999,2000,NA,34,Plant visitation,Assemblage,Pollen collection,Dry and Wet,Cloud forest,Cloud forest,Northwestern Andean montane forests,Northern Andes,NA,1958,2077,16.5,1208,1.719
BPA132,BPR109,Otonga Natural Reserve,Cotopaxi,Ecuador,-0.416699,-79.002553,Precise,1999,2000,NA,34,Plant visitation,Assemblage,Pollen collection,Dry and Wet,Cloud forest,Cloud forest,Northwestern Andean montane forests,Northern Andes,NA,1940,2209,16.3,1159,1.9058
BPA133,BPR110,Londrina Urban Rrea,Parana,Brazil,-23.366039,-51.183777,Precise,1989,1992,22,NA,Bat diet,Assemblage,Feces collection,Dry and Wet,NA,Semideciduous forest,Alto Paraná Atlantic forests,Atlantic Forest,700,507,1546,20.8,1492,1.0357
BPA134,BPR111,Laguna de Caparú,Merida,Venezuela,8.487778,-71.336111,Precise,NA,NA,NA,NA,Bat diet,Population,Feces collection,Dry,Thorny and shruby vegetation,Deciduous forest,Venezuelan Andes montane forests,Northern Andes,820,772,1242,23.9,1662,0.7472
BPA135,BPR112,El Mamo - Catia la Mar,Vargas,Venezuela,10.587601,-67.061971,Precise,1990,1991,8,NA,Plant visitation,Assemblage,Direct observation,Dry and Wet,NA,Deciduous forest,La Costa xeric shrublands,Caribbean,NA,61,687,26.7,1919,0.3579
BPA136,BPR112,Península de Paraguaná,Falcon,Venezuela,11.946592,-70.099865,Not precise,1990,1990,4,NA,Plant visitation,Assemblage,Direct observation,Dry and Wet,NA,Deciduous forest,Paraguana xeric scrub,Caribbean,NA,59,438,27.9,2232,0.1961
BPA137,BPR113,Saint Croix,Virgin Islands,United States,17.723461,-64.834441,Not precise,NA,NA,NA,NA,Bat diet,Population,Direct observation,NA,NA,Limestone Rainforest,Caribbean shrublands,Caribbean,NA,106,1160,25.9,1982,0.5851
